step,T_supply,Q_available,Exergy_DT,Q_negotiated,it_load_frac,scenario,t_availability
0,35.53236599357199,14215.950544021722,1470.607217923096,11603.019554775712,0.9316623589448273,Edge_synth,0.9909817351598174
1,34.53887478755259,15616.038247769466,1476.7725693748218,14628.825361745998,0.9194123049222385,Edge_synth,0.9909817351598174
2,35.732817988746156,13932.675693361845,1593.3036636744414,15470.339649362275,0.9539892982809364,Edge_synth,0.9909817351598174
3,36.41877173758937,14009.051572061211,1448.4930010616706,17372.454947305727,0.9379154458154372,Edge_synth,0.9909817351598174
4,36.455743935807625,12146.800710635614,1604.102516620148,17646.759402725496,0.9011888714574675,Edge_synth,0.9909817351598174
5,36.84201239908591,11166.177715056348,1804.057783156818,17825.71127609619,0.8910019000388791,Edge_synth,0.9909817351598174
6,35.63443861841313,10263.245877289008,1659.3278962165166,15610.917102048754,0.8448087311779151,Edge_synth,0.9909817351598174
7,34.96451711412224,5602.00365047522,1568.6592997332123,18656.227624597013,0.8988989497689432,Edge_synth,0.9909817351598174
8,34.08547600330372,7631.595732972801,1313.3601611435265,19925.889570379502,0.8675983131932549,Edge_synth,0.9909817351598174
9,36.004904301923524,12752.225306525068,1397.6881572365628,19974.00405893925,0.8686000465866298,Edge_synth,0.9909817351598174
10,34.65434703420106,12540.89811982261,1371.3575750435407,18869.100392726777,0.8404931440672689,Edge_synth,0.9909817351598174
11,34.335165341701,9060.450827994031,1427.382166200314,18180.759736331274,0.8383602464795251,Edge_synth,0.9909817351598174
12,34.17258407659023,11020.963288081397,1484.6189565620637,19426.841775385812,0.8232755761669535,Edge_synth,0.9909817351598174
13,33.54466641383107,10377.784530199768,1219.6484833861439,23180.55509721217,0.7874693122705029,Edge_synth,0.9909817351598174
14,32.39390847885072,11131.275220782283,1203.336899375752,18069.915593662503,0.7745830581343602,Edge_synth,0.9909817351598174
15,31.432564843296504,8982.688974848534,1484.6724572810601,20763.70854319393,0.7326254350840137,Edge_synth,0.9909817351598174
16,31.95771327917554,10310.79244309252,1034.4706416807107,26708.70680071218,0.7684016813516815,Edge_synth,0.9909817351598174
17,30.314162979039867,12135.061422395438,1002.1397999837594,23818.554747322876,0.7809538158341106,Edge_synth,0.9909817351598174
18,32.38820726696747,15076.236015641209,1029.271204432137,27537.842494389755,0.7542330742056143,Edge_synth,0.9909817351598174
19,31.596707987466218,8463.490382929616,698.8454331140538,31870.707917668144,0.7360451913797943,Edge_synth,0.9909817351598174
20,30.843185684015875,12618.40719999348,922.272827065289,27111.509462073183,0.6472759277268108,Edge_synth,0.9909817351598174
21,32.32078491042248,14963.746528545436,615.9531419963096,25717.615279380196,0.703445604537878,Edge_synth,0.9909817351598174
22,28.90891007279459,8357.656270308134,697.4419772275427,31621.510380469128,0.7050869886643536,Edge_synth,0.9909817351598174
23,31.819909069074804,12068.632265632383,758.7275919498435,31680.625069011217,0.6648692614108901,Edge_synth,0.9909817351598174
24,26.533587079661693,12099.442192483823,752.8360807339023,34002.22266222779,0.6927131923403547,Edge_synth,0.9909817351598174
25,27.577028125492756,17603.448334211826,657.577285556028,33687.40729865909,0.7022544013110625,Edge_synth,0.9909817351598174
26,25.91571757701023,13476.939898026825,424.52348577755714,38403.05652408147,0.6680744463359427,Edge_synth,0.9909817351598174
27,25.88578346903158,15096.338677273323,624.6525991072874,35993.60671967516,0.6699786510177377,Edge_synth,0.9909817351598174
28,25.96572602177642,20336.072304874222,417.9948321342806,38193.52596466653,0.6444321772684884,Edge_synth,0.9909817351598174
29,24.78361347573648,18752.546266578152,473.5365228563951,38726.98127515817,0.6068780121357156,Edge_synth,0.9909817351598174
30,26.790329089098208,19734.15636365201,285.35776677528025,38588.88826200943,0.6731100628757363,Edge_synth,0.9909817351598174
31,23.464197333484677,20686.383287254263,294.063357244266,41486.21063589652,0.6217533602291532,Edge_synth,0.9909817351598174
32,23.7337305271637,21433.877119989127,342.188857129894,35937.44118923121,0.5816971037330941,Edge_synth,0.9909817351598174
33,21.76729557742008,22302.869562583997,303.5288831679377,41684.784854598314,0.6564421374360537,Edge_synth,0.9909817351598174
34,22.65291292418242,25196.938766772248,143.04141665175473,40022.62841213193,0.6109525155883577,Edge_synth,0.9909817351598174
35,22.38505770285332,22656.59394514737,309.032354940592,37564.78806203832,0.6332880217639542,Edge_synth,0.9909817351598174
36,21.192956022573032,26178.82465327962,108.14598360404216,41371.72998343597,0.5985543711261435,Edge_synth,0.9909817351598174
37,21.042070027639987,24176.508641141147,111.5964303175737,45060.71593156083,0.630580035761781,Edge_synth,0.9909817351598174
38,23.151315346853156,28572.756034233844,266.6902106629323,40536.48395491134,0.6201625154979965,Edge_synth,0.9909817351598174
39,19.579886721459324,32816.78704594058,231.4708937847194,43056.93547583811,0.6378584853105259,Edge_synth,0.9909817351598174
40,18.31763942662482,31725.726563379692,107.35094975112311,43985.09645627091,0.6372351718112871,Edge_synth,0.9909817351598174
41,18.992163743399438,28619.58799907132,232.3503671337296,44523.234888676874,0.6213135608115008,Edge_synth,0.9909817351598174
42,19.28477043183206,31816.746399658612,105.51155389493704,41571.39498715415,0.6461475160653287,Edge_synth,0.9909817351598174
43,18.881927777154583,31418.62154877656,75.48853302992146,41325.48941472657,0.6401653973996263,Edge_synth,0.9909817351598174
44,19.320718555130416,32343.60785428762,65.1018084428266,41314.11967297609,0.5981499230411229,Edge_synth,0.9909817351598174
45,19.31469151938623,36714.050321229195,96.91249426221297,42340.35468458462,0.65579711425264,Edge_synth,0.9909817351598174
46,19.15530393762606,31772.633844440184,60.371655023776896,40494.1289137224,0.7197449770979711,Edge_synth,0.9909817351598174
47,19.622025832590094,38202.78758436664,50.907217869002935,43254.49308338072,0.6300759477021357,Edge_synth,0.9909817351598174
48,16.78098370841941,39078.516543591155,23.9165582633637,41034.80900027937,0.6589014334738863,Edge_synth,0.9909817351598174
49,17.29360920575792,38163.83970502312,106.46414386182923,42587.510820799296,0.6601169298775166,Edge_synth,0.9909817351598174
50,16.30913053944019,39545.8845784154,5.4325938854466855,44178.91367628517,0.7270614607142363,Edge_synth,0.9909817351598174
51,16.554179845940208,37151.483115871175,121.96696301314002,42289.102953204405,0.6586367622665695,Edge_synth,0.9909817351598174
52,19.324729352882052,43358.952227571586,33.44551308154175,38262.54884201979,0.6987075033506349,Edge_synth,0.9909817351598174
53,19.550428383992173,40674.07414091531,33.726042693023494,40005.29862970679,0.7275372591635644,Edge_synth,0.9909817351598174
54,18.854193129773247,43236.22918912745,42.59530919362617,42482.576625675654,0.714338987154135,Edge_synth,0.9909817351598174
55,18.13795467707621,40454.401953146866,59.73265219598356,40038.99562882549,0.72573983427575,Edge_synth,0.9909817351598174
56,18.203564780824475,44111.07529012364,200.69353463613066,39685.36134695208,0.7533627947357694,Edge_synth,0.9909817351598174
57,17.07635347379334,43279.15956050196,214.15066266443515,37052.11343370026,0.7350523553544113,Edge_synth,0.9909817351598174
58,19.39355612784499,40242.436760521865,240.00109282789015,36733.05622390981,0.753119939304741,Edge_synth,0.9909817351598174
59,19.31809327451749,45973.602956688715,135.500943413317,33439.62021522829,0.7904008602941259,Edge_synth,0.9909817351598174
60,19.88414149033046,43169.27443306325,105.64584843360169,36868.48401934752,0.7916049351597638,Edge_synth,0.9909817351598174
61,20.44027637871885,44325.650248920756,230.17178123476822,36625.28594971986,0.8121705796085538,Edge_synth,0.9909817351598174
62,18.5361253412378,45045.372022744756,169.66924773855337,33023.42522214754,0.7851389903698549,Edge_synth,0.9909817351598174
63,18.607984528435797,44154.00786232474,131.28839884534293,30855.338365657153,0.8377504482588422,Edge_synth,0.9909817351598174
64,21.85463289658092,45736.572156260925,236.02988732709457,35622.25143954304,0.8272424307507651,Edge_synth,0.9909817351598174
65,21.613705872748298,45378.284186743214,143.64697624531132,30175.530423484593,0.8405998825550406,Edge_synth,0.9909817351598174
66,22.318774443093734,42971.78343010664,178.3297118248838,30167.683279789173,0.8612875608344457,Edge_synth,0.9909817351598174
67,22.4665460516747,44198.89289338779,332.9023288047297,26515.313363186404,0.836244270702748,Edge_synth,0.9909817351598174
68,23.962039566784586,43170.061437066746,265.46999714898965,26267.237613270623,0.8218678005407459,Edge_synth,0.9909817351598174
69,22.417958344672293,39728.22428245118,353.3643350435972,25528.73319583452,0.9265570642584567,Edge_synth,0.9909817351598174
70,23.7685309814709,41358.06702116231,328.5166226834891,27583.827635609232,0.8730147502098289,Edge_synth,0.9909817351598174
71,23.734082942575984,43768.04323325566,425.6683518821221,24336.46550379859,0.8983261076401725,Edge_synth,0.9909817351598174
72,25.0170786829396,38307.472421725135,339.74310719951245,23697.87932817869,0.8867347263221976,Edge_synth,0.9909817351598174
73,24.616648842842384,39310.180683262915,386.627179404455,20431.426321290062,0.9105108358786811,Edge_synth,0.9909817351598174
74,26.48739907264405,39533.11774302086,407.7957508447314,20539.75411333875,0.8955259918506866,Edge_synth,0.9909817351598174
75,26.389621833996497,43427.43160699701,392.43971459353014,20559.820631349998,0.950506616160804,Edge_synth,0.9909817351598174
76,27.79484451841309,39127.74370708751,528.151416375852,21350.525846904748,0.9056414506261442,Edge_synth,0.9909817351598174
77,29.036218789544574,36033.23729452358,574.3437123292117,14430.398762033741,0.9196309207422738,Edge_synth,0.9909817351598174
78,27.410513640501573,34459.71772578662,878.6904065784969,19019.659240951638,0.9435189839827476,Edge_synth,0.9909817351598174
79,28.313556155734403,35404.45370757501,672.3095294748971,17549.680356950237,0.9685491933799882,Edge_synth,0.9909817351598174
80,30.691061397161505,34882.65445058359,815.7470511523501,18800.832358636806,0.9635590986908114,Edge_synth,0.9909817351598174
81,29.774523006261134,32777.5114392761,855.7092993797646,18901.50403678448,0.9338678112908858,Edge_synth,0.9909817351598174
82,30.40195972820523,32287.86407037171,965.4713315439062,15168.858540806405,0.9565802200870857,Edge_synth,0.9909817351598174
83,32.1317576451731,32193.394744252222,1139.0706179140623,18956.641812598813,0.939429782635947,Edge_synth,0.9909817351598174
84,31.73520679067296,33889.84904086614,957.6127717932161,11559.609578011528,0.9571108913432792,Edge_synth,0.9909817351598174
